osu file format v14

[General]
AudioFilename: Oraoraora.mp3
AudioLeadIn: 0
PreviewTime: 74822
Countdown: 0
SampleSet: Normal
StackLeniency: 0.7
Mode: 3
LetterboxInBreaks: 0
SpecialStyle: 0
WidescreenStoryboard: 1

[Editor]
DistanceSpacing: 1.1
BeatDivisor: 4
GridSize: 16
TimelineZoom: 1.3

[Metadata]
Title:Hydria's MDx2v2
TitleUnicode:???? ??????~end of THE WORLD~
Artist:JO*STARS ~TOMMY, Coda, JIN~
ArtistUnicode:JO*STARS ~TOMMY, Coda, JIN~
Creator:Hydria
Version:JO*STARS ~TOMMY, Coda, JIN~ - JoJo Sono Chi no Kikou ~end of THE WORLD~
Source:
Tags:???? ?????? marathon
BeatmapID:749695
BeatmapSetID:338811

[Difficulty]
HPDrainRate:7
CircleSize:4
OverallDifficulty:8
ApproachRate:5
SliderMultiplier:1.4
SliderTickRate:1

[Events]
//Background and Video events
0,0,"bg.png",0,0
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Sound Samples

[TimingPoints]
13459,272.727272727273,4,1,0,100,1,0
49459,-100,4,1,0,100,0,1
71277,-100,4,1,0,100,0,0
75640,-100,4,1,0,100,0,1
84368,-100,4,1,0,100,0,0


[HitObjects]
64,bpmchange,210,0,1
448,192,75368,1,0,0:0:0:0:
320,192,75504,1,0,0:0:0:0:
448,192,75640,1,0,0:0:0:0:
320,192,75777,1,0,0:0:0:0:
64,192,75913,1,0,0:0:0:0:
192,192,76049,1,0,0:0:0:0:
448,192,76186,1,0,0:0:0:0:
320,192,76322,1,0,0:0:0:0:
64,192,76459,1,0,0:0:0:0:
192,192,76459,1,0,0:0:0:0:
320,192,76595,1,0,0:0:0:0:
448,192,76595,1,0,0:0:0:0:
64,192,76731,1,0,0:0:0:0:
192,192,76868,1,0,0:0:0:0:
448,192,77004,1,0,0:0:0:0:
320,192,77140,1,0,0:0:0:0:
64,192,77277,1,0,0:0:0:0:
192,192,77413,1,0,0:0:0:0:
448,192,77549,1,0,0:0:0:0:
320,192,77549,1,0,0:0:0:0:
64,192,77686,1,0,0:0:0:0:
192,192,77686,1,0,0:0:0:0:
448,192,77822,1,0,0:0:0:0:
320,192,77959,1,0,0:0:0:0:
64,192,78095,1,0,0:0:0:0:
192,192,78231,1,0,0:0:0:0:
448,192,78368,1,0,0:0:0:0:
320,192,78504,1,0,0:0:0:0:
64,192,78640,1,0,0:0:0:0:
192,192,78640,1,0,0:0:0:0:
320,192,78777,1,0,0:0:0:0:
448,192,78777,1,0,0:0:0:0:
64,192,78913,1,0,0:0:0:0:
192,192,78913,1,0,0:0:0:0:
64,192,79049,1,0,0:0:0:0:
192,192,79049,1,0,0:0:0:0:
320,192,79186,1,0,0:0:0:0:
448,192,79186,1,0,0:0:0:0:
320,192,79322,1,0,0:0:0:0:
448,192,79322,1,0,0:0:0:0:
64,192,79459,1,0,0:0:0:0:
192,192,79459,1,0,0:0:0:0:
192,192,79595,1,0,0:0:0:0:
64,192,79595,1,0,0:0:0:0:
320,192,79731,1,0,0:0:0:0:
448,192,79731,1,0,0:0:0:0:
320,192,79868,1,0,0:0:0:0:
448,192,79868,1,0,0:0:0:0:
192,192,80549,1,0,0:0:0:0:
64,192,80549,1,0,0:0:0:0:
320,192,80686,128,0,84368:0:0:0:0:
448,192,80686,128,0,84368:0:0:0:0:
64,192,84368,5,0,0:0:0:0:
192,192,84368,1,0,0:0:0:0:
64,192,84640,1,0,0:0:0:0:
192,192,84640,1,0,0:0:0:0:
448,192,84913,1,0,0:0:0:0:
320,192,84913,1,0,0:0:0:0:
192,192,85095,1,0,0:0:0:0:
64,192,85277,1,0,0:0:0:0:
448,192,85459,1,0,0:0:0:0:
320,192,85459,1,0,0:0:0:0:
192,192,85640,1,0,0:0:0:0:
64,192,85822,1,0,0:0:0:0:
192,192,86004,1,0,0:0:0:0:
320,192,86004,1,0,0:0:0:0:
448,192,86186,1,0,0:0:0:0:
64,192,86368,1,0,0:0:0:0:
192,192,86549,1,0,0:0:0:0:
320,192,86549,1,0,0:0:0:0:
448,192,86549,1,0,0:0:0:0:
